START,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,END
{,MCC,Medley Capital Corporation,3.22,$175.41M,2011,n/a,n/a,}
{,MCV,Medley Capital Corporation,25.1,n/a,n/a,n/a,n/a,}
{,MCX,Medley Capital Corporation,25.11,n/a,2015,n/a,n/a,}
{,MDLQ,Medley LLC,18.2,n/a,2017,Finance,Investment Managers,}
{,MDLX,Medley LLC,18,n/a,2016,Finance,Investment Managers,}
{,MDLY,Medley Management Inc.,2.93,$89.24M,2014,Finance,Investment Managers,}
{,MD,"Mednax, Inc",29.52,$2.55B,n/a,Health Care,Hospital/Nursing Management,}
{,MDT,Medtronic plc,88.33,$118.46B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,}
{,MFAC,Megalith Financial Acquisition Corp.,10,$211.61M,2018,Finance,Business Services,}
{,MFAC.U,Megalith Financial Acquisition Corp.,n/a,n/a,2018,n/a,n/a,}
{,MFAC.WS,Megalith Financial Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,}
{,MRK,"Merck & Company, Inc.",78.19,$201.31B,n/a,Health Care,Major Pharmaceuticals,}
{,MCY,Mercury General Corporation,56.33,$3.12B,n/a,Finance,Property-Casualty Insurers,}
{,MDP,Meredith Corporation,55.8,$2.52B,n/a,Consumer Services,Newspapers/Magazines,}
{,MTH,Meritage Corporation,51.94,$1.99B,n/a,Capital Goods,Homebuilding,}
{,MTOR,"Meritor, Inc.",21.98,$1.84B,n/a,Capital Goods,Auto Parts:O.E.M.,}
{,MER^K,"Merrill Lynch & Co., Inc.",26.22,n/a,n/a,n/a,n/a,}
{,PIY,"Merrill Lynch Depositor, Inc.",12.7999,n/a,n/a,Finance,Finance: Consumer Services,}
{,MTR,Mesa Royalty Trust,12.67,$23.61M,n/a,Energy,Oil & Gas Production,}
{,MSB,Mesabi Trust,30,$393.6M,n/a,Basic Industries,Precious Metals,}
{,MEI,"Methode Electronics, Inc.",28.81,$1.07B,n/a,Capital Goods,Electrical Products,}
{,MET,"MetLife, Inc.",47.92,$45.54B,2000,Finance,Life Insurance,}
{,MET^A,"MetLife, Inc.",22.62,n/a,n/a,n/a,n/a,}
{,MET^E,"MetLife, Inc.",26.289,n/a,n/a,n/a,n/a,}
{,MCB,Metropolitan Bank Holding Corp.,42.33,$352.22M,2017,Finance,Major Banks,}
{,MTD,"Mettler-Toledo International, Inc.",727.67,$18.07B,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments,}
{,MXE,"Mexico Equity and Income Fund, Inc. (The)",10.85,$74.82M,n/a,n/a,n/a,}
{,MXF,"Mexico Fund, Inc. (The)",13.9247,$208.94M,n/a,n/a,n/a,}
{,MFA,"MFA Financial, Inc.",7.42,$3.34B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,MFA^B,"MFA Financial, Inc.",25.42,n/a,n/a,n/a,n/a,}
{,MFO,"MFA Financial, Inc.",25.97,n/a,n/a,Consumer Services,Real Estate Investment Trusts,}
{,MFCB,MFC Bancorp Ltd.,13.88,$173.98M,n/a,Finance,Commercial Banks,}
{,MCR,MFS Charter Income Trust,7.89,$370.75M,1989,n/a,n/a,}
{,MGF,MFS Government Markets Income Trust,4.53,$147.68M,1987,n/a,n/a,}
{,MIN,MFS Intermediate Income Trust,3.76,$441.38M,1988,n/a,n/a,}
{,MMT,MFS Multimarket Income Trust,5.64,$379.01M,1987,n/a,n/a,}
{,MFM,MFS Municipal Income Trust,6.88,$283.37M,1986,n/a,n/a,}
{,MFV,MFS Special Value Trust,5.73,$40.96M,n/a,n/a,n/a,}
{,MTG,MGIC Investment Corporation,14.14,$5.03B,1991,Finance,Property-Casualty Insurers,}
{,MGP,MGM Growth Properties LLC,31.61,$9.47B,2016,Consumer Services,Real Estate Investment Trusts,}
{,MGM,MGM Resorts International,25.63,$13.77B,n/a,Consumer Services,Hotels/Resorts,}
{,MFGP,Micro Focus Intl PLC,23.41,$8.04B,2017,Technology,Computer Software: Prepackaged Software,}
{,MAA,"Mid-America Apartment Communities, Inc.",111.03,$12.66B,1994,Consumer Services,Real Estate Investment Trusts,}
{,MAA^I,"Mid-America Apartment Communities, Inc.",63.21,n/a,n/a,n/a,n/a,}
{,MSL,MidSouth Bancorp,12.39,$207.12M,n/a,Finance,Major Banks,}
{,MPO,"MIDSTATES PETROLEUM COMPANY, INC.",9.74,$198.84M,2016,Energy,Oil & Gas Production,}
{,MCRN,Milacron Holdings Corp.,13.9,$979.97M,2015,Technology,Industrial Machinery/Components,}
{,MLR,"Miller Industries, Inc.",32.8,$373.92M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,}
{,HIE,Miller/Howard High Income Equity Fund,11.73,$182.08M,2014,n/a,n/a,}
{,MTX,Minerals Technologies Inc.,59.93,$2.11B,1992,Basic Industries,Major Chemicals,}
{,MG,Mistras Group Inc,13.22,$378.7M,2009,Consumer Services,Military/Government/Technical,}
{,MUFG,Mitsubishi UFJ Financial Group Inc,4.74,$61.25B,n/a,Finance,Commercial Banks,}
{,MIXT,MiX Telematics Limited,17.08,$389.26M,2013,Technology,Computer Software: Prepackaged Software,}
{,MFG,"Mizuho Financial Group, Inc.",3.08,$39.05B,n/a,Finance,Major Banks,}
{,MBT,Mobile TeleSystems OJSC,7.78,$6.97B,n/a,Public Utilities,Telecommunications Equipment,}
{,MODN,"Model N, Inc.",19.04,$618.47M,2013,Technology,"Computer Software: Programming, Data Processing",}
{,MOD,Modine Manufacturing Company,13.32,$674.37M,n/a,Capital Goods,Auto Parts:O.E.M.,}
{,MC,Moelis & Company,35.1,$1.67B,2014,Finance,Investment Managers,}
{,MOGU,MOGU Inc.,6.28,$671.31M,2018,Miscellaneous,Business Services,}
{,MHK,"Mohawk Industries, Inc.",135.36,$9.8B,n/a,Consumer Durables,Home Furnishings,}
{,MOH,Molina Healthcare Inc,129.13,$8.09B,2003,Health Care,Medical Specialities,}
{,TAP,Molson Coors Brewing  Company,58.64,$12.68B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),}
{,TAP.A,Molson Coors Brewing  Company,n/a,n/a,n/a,n/a,n/a,}
{,MNR,Monmouth Real Estate Investment Corporation,14.21,$1.34B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,MNR^C,Monmouth Real Estate Investment Corporation,24.745,n/a,n/a,n/a,n/a,}
{,MR,Montage Resources Corporation,10.35,$368.6M,2014,Energy,Oil & Gas Production,}
{,MCO,Moody&#39;s Corporation,188.99,$35.83B,n/a,Finance,Finance: Consumer Services,}
{,MOG.A,Moog Inc.,n/a,n/a,n/a,n/a,n/a,}
{,MOG.B,Moog Inc.,n/a,n/a,n/a,n/a,n/a,}
{,MS,Morgan Stanley,46.34,$77.95B,n/a,Finance,Investment Bankers/Brokers/Service,}
{,MS^A,Morgan Stanley,20.341,n/a,n/a,n/a,n/a,}
{,MS^E,Morgan Stanley,27.89,n/a,n/a,n/a,n/a,}
{,MS^F,Morgan Stanley,27.53,n/a,n/a,n/a,n/a,}
{,MS^G,Morgan Stanley,25.53,n/a,n/a,n/a,n/a,}
{,MS^I,Morgan Stanley,27.05,n/a,n/a,n/a,n/a,}
{,MS^K,Morgan Stanley,26.3695,n/a,n/a,n/a,n/a,}
{,CAF,Morgan Stanley China A Share Fund Inc.,21.79,$476.8M,2006,n/a,n/a,}
{,MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",9.1,$185.52M,1993,n/a,n/a,}
{,EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",6.53,$431.9M,2007,n/a,n/a,}
{,IIF,"Morgan Stanley India Investment Fund, Inc.",19.88,$270.71M,1994,n/a,n/a,}
{,MOSC,Mosaic Acquisition Corp.,10.11,$435.99M,2017,Finance,Business Services,}
{,MOSC.U,Mosaic Acquisition Corp.,n/a,n/a,2017,n/a,n/a,}
{,MOSC.WS,Mosaic Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,}
{,MOS,Mosaic Company (The),23.9,$9.22B,n/a,Basic Industries,Agricultural Chemicals,}
{,MSI,"Motorola Solutions, Inc.",148.43,$24.46B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,}
{,MOV,Movado Group Inc.,35.59,$820.41M,n/a,Consumer Non-Durables,Consumer Specialties,}
{,MPLX,MPLX LP,31.34,$24.89B,2012,Energy,Natural Gas Distribution,}
{,MRC,MRC Global Inc.,16.53,$1.37B,2012,Capital Goods,Industrial Machinery/Components,}
{,HJV,MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,7.07,n/a,n/a,Finance,Finance: Consumer Services,}
{,MSA,MSA Safety Incorporporated,108.31,$4.19B,n/a,Health Care,Industrial Specialties,}
{,MSM,"MSC Industrial Direct Company, Inc.",76.91,$4.24B,1995,Capital Goods,Industrial Machinery/Components,}
{,MSCI,MSCI Inc,224.28,$18.99B,n/a,Miscellaneous,Business Services,}
{,MSGN,MSG Networks Inc.,22.37,$1.67B,n/a,Consumer Services,Television Services,}
{,MLI,"Mueller Industries, Inc.",29.03,$1.64B,n/a,Capital Goods,Metal Fabrications,}
{,MWA,Mueller Water Products Inc,9.23,$1.46B,2006,Capital Goods,Metal Fabrications,}
{,MVF,"MuniVest Fund, Inc.",9.14,$592.6M,n/a,n/a,n/a,}
{,MZA,"MuniYield Arizona Fund, Inc.",13.6959,$63.5M,1993,n/a,n/a,}
{,MUR,Murphy Oil Corporation,27.53,$4.78B,n/a,Energy,Oil & Gas Production,}
{,MUSA,Murphy USA Inc.,86,$2.77B,2013,Consumer Durables,Automotive Aftermarket,}
{,MVO,MV Oil Trust,8.27,$95.11M,2007,Energy,Oil & Gas Production,}
{,MVC,"MVC Capital, Inc.",9.16,$162.36M,n/a,n/a,n/a,}
{,MVCD,"MVC Capital, Inc.",25.6,n/a,2017,n/a,n/a,}
{,MYE,"Myers Industries, Inc.",17.97,$637.25M,n/a,Consumer Non-Durables,Plastic Products,}
{,MYOV,Myovant Sciences Ltd.,17.75,$1.26B,2016,Health Care,Major Pharmaceuticals,}
{,NBR,Nabors Industries Ltd.,3.84,$1.39B,n/a,Energy,Oil & Gas Production,}
{,NBR^A,Nabors Industries Ltd.,28.74,n/a,n/a,n/a,n/a,}
{,NC,"NACCO Industries, Inc.",48.69,$340.18M,n/a,Consumer Durables,Consumer Electronics/Appliances,}
{,NTP,Nam Tai Property Inc.,9.37,$357.87M,n/a,Finance,Real Estate,}
{,NTEST,NASDAQ TEST STOCK,24.99,n/a,n/a,n/a,n/a,}
{,NTEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,}
{,NTEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,}
{,NTEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,}
{,NBHC,National Bank Holdings Corporation,37.91,$1.17B,2012,Finance,Major Banks,}
{,NFG,National Fuel Gas Company,57.13,$4.93B,n/a,Public Utilities,Oil/Gas Transmission,}
{,NGG,"National Grid Transco, PLC",54.98,$37.5B,n/a,Public Utilities,Natural Gas Distribution,}
{,NHI,"National Health Investors, Inc.",76.69,$3.31B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,NOV,"National Oilwell Varco, Inc.",24.9,$9.61B,n/a,Energy,Metal Fabrications,}
{,NPK,"National Presto Industries, Inc.",107.74,$756.24M,n/a,Capital Goods,Ordnance And Accessories,}
{,NNN,National Retail Properties,52.82,$8.59B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,NNN^E,National Retail Properties,25.07,n/a,n/a,n/a,n/a,}
{,NNN^F,National Retail Properties,24.11,n/a,n/a,n/a,n/a,}
{,NRUC,National Rural Utilities Cooperative Finance Corporation,25.18,n/a,2019,n/a,n/a,}
{,SID,National Steel Company,3.62,$5B,n/a,Capital Goods,Steel/Iron Ore,}
{,NSA,National Storage Affiliates Trust,29.84,$1.7B,2015,Consumer Services,Real Estate Investment Trusts,}
{,NSA^A,National Storage Affiliates Trust,25.41,n/a,n/a,n/a,n/a,}
{,NGS,"Natural Gas Services Group, Inc.",16.2,$214.25M,2002,Energy,Oilfield Services/Equipment,}
{,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",12.18,$273.3M,2012,Consumer Services,Food Chains,}
{,NRP,Natural Resource Partners LP,40,$490.45M,2002,Energy,Coal Mining,}
{,NTZ,"Natuzzi, S.p.A.",4.1,$44.98M,1993,Consumer Durables,Home Furnishings,}
{,NLS,"Nautilus Group, Inc. (The)",4.09,$121.35M,n/a,Consumer Non-Durables,Recreational Products/Toys,}
{,NCI,"Navigant Consulting, Inc.",22.53,$886.48M,n/a,Consumer Services,Professional Services,}
{,NVGS,Navigator Holdings Ltd.,11.08,$616.69M,2013,Transportation,Marine Transportation,}
{,NNA,Navios Maritime Acquisition Corporation,7.06,$96.92M,n/a,Transportation,Marine Transportation,}
{,NM,Navios Maritime Holdings Inc.,3.47,$45.09M,n/a,Transportation,Marine Transportation,}
{,NM^G,Navios Maritime Holdings Inc.,9.236,n/a,n/a,n/a,n/a,}
{,NM^H,Navios Maritime Holdings Inc.,7.21,n/a,n/a,n/a,n/a,}
{,NMM,Navios Maritime Partners LP,0.9396,$156M,2007,Transportation,Marine Transportation,}
{,NAV,Navistar International Corporation,30.5,$3.02B,n/a,Capital Goods,Auto Manufacturing,}
{,NAV^D,Navistar International Corporation,24.7,n/a,n/a,Capital Goods,Auto Manufacturing,}
{,NCS,"NCI Building Systems, Inc.",6.01,$754.34M,n/a,Capital Goods,Metal Fabrications,}
{,NCR,NCR Corporation,31.1,$3.74B,n/a,Miscellaneous,Office Equipment/Supplies/Services,}
{,NP,"Neenah, Inc.",62.37,$1.05B,n/a,Basic Industries,Paper,}
{,NNI,"Nelnet, Inc.",63.09,$2.52B,2003,Finance,Finance: Consumer Services,}
{,NPTN,NeoPhotonics Corporation,6.03,$280.24M,2011,Technology,Semiconductors,}
{,NETS,Netshoes (Cayman) Limited,1.91,$59.32M,2017,Consumer Services,Catalog/Specialty Distribution,}
{,NVRO,Nevro Corp.,60.2,$1.84B,2014,Health Care,Medical/Dental Instruments,}
{,HYB,"New America High Income Fund, Inc. (The)",8.71,$203.54M,1988,n/a,n/a,}
{,NFC,New Frontier Corporation,10.03,$288.36M,2018,Finance,Business Services,}
{,NFC.U,New Frontier Corporation,n/a,n/a,2018,n/a,n/a,}
{,NFC.WS,New Frontier Corporation,n/a,n/a,n/a,n/a,n/a,}
{,GF,"New Germany Fund, Inc. (The)",14.46,$225.01M,1990,n/a,n/a,}
{,NWHM,New Home Company Inc. (The),4.38,$87.82M,2014,Capital Goods,Homebuilding,}
{,IRL,"New Ireland Fund, Inc. (The)",9.26,$46.06M,1990,n/a,n/a,}
{,NEWM,New Media Investment Group Inc.,9.99,$604.69M,2014,Consumer Services,Newspapers/Magazines,}
{,NMFC,New Mountain Finance Corporation,14.15,$1.14B,2011,n/a,n/a,}
{,NMFX,New Mountain Finance Corporation,25.63,n/a,2018,n/a,n/a,}
{,EDU,"New Oriental Education & Technology Group, Inc.",88.01,$13.93B,2006,Consumer Services,Other Consumer Services,}
{,NEWR,"New Relic, Inc.",107.3,$6.15B,2014,Technology,Computer Software: Prepackaged Software,}
{,NRZ,New Residential Investment Corp.,16.78,$6.97B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,SNR,New Senior Investment Group Inc.,6.32,$519.57M,2014,Consumer Services,Real Estate Investment Trusts,}
{,NYCB,"New York Community Bancorp, Inc.",11.3,$5.28B,n/a,Finance,Banks,}
{,NYCB^A,"New York Community Bancorp, Inc.",26.67,n/a,n/a,n/a,n/a,}
{,NYCB^U,"New York Community Bancorp, Inc.",48.46,n/a,n/a,n/a,n/a,}
{,NYT,New York Times Company (The),33.72,$5.6B,n/a,Consumer Services,Newspapers/Magazines,}
{,NJR,NewJersey Resources Corporation,49.74,$4.44B,n/a,Public Utilities,Oil/Gas Transmission,}
{,NEU,NewMarket Corporation,421.85,$4.72B,n/a,Basic Industries,Major Chemicals,}
{,NEM,Newmont Goldcorp Corporation,30.15,$24.8B,n/a,Basic Industries,Precious Metals,}
{,NR,"Newpark Resources, Inc.",7.49,$677.89M,n/a,Energy,Metal Fabrications,}
{,NEXA,Nexa Resources S.A.,9.69,$1.29B,2017,Basic Industries,Precious Metals,}
{,NXRT,"NexPoint Residential Trust, Inc.",41.31,$976.7M,2015,Consumer Services,Real Estate Investment Trusts,}
{,NHF,NexPoint Strategic Opportunities Fund,19.64,$635.21M,n/a,n/a,n/a,}
{,NEP,"NextEra Energy Partners, LP",44.69,$2.51B,2014,Public Utilities,Electric Utilities: Central,}
{,NEE,"NextEra Energy, Inc.",191.76,$91.84B,n/a,Public Utilities,Electric Utilities: Central,}
{,NEE^I,"NextEra Energy, Inc.",24.89,n/a,n/a,n/a,n/a,}
{,NEE^J,"NextEra Energy, Inc.",24.31,n/a,n/a,n/a,n/a,}
{,NEE^K,"NextEra Energy, Inc.",25.58,n/a,n/a,n/a,n/a,}
{,NEE^N,"NextEra Energy, Inc.",25.7,n/a,n/a,n/a,n/a,}
{,NEE^R,"NextEra Energy, Inc.",61.6366,n/a,n/a,n/a,n/a,}
{,NGL,NGL ENERGY PARTNERS LP,13.82,$1.72B,2011,Energy,Oil Refining/Marketing,}
{,NGL^B,NGL ENERGY PARTNERS LP,23.912,n/a,n/a,n/a,n/a,}
{,NGL^C,NGL ENERGY PARTNERS LP,24.82,n/a,n/a,n/a,n/a,}
{,NMK^B,"Niagara Mohawk Holdings, Inc.",93.25,n/a,n/a,Public Utilities,Natural Gas Distribution,}
{,NMK^C,"Niagara Mohawk Holdings, Inc.",93.4,n/a,n/a,Public Utilities,Natural Gas Distribution,}
{,NLSN,Nielsen N.V.,24.59,$8.74B,2011,Miscellaneous,Business Services,}
{,NKE,"Nike, Inc.",83.95,$131.95B,n/a,Consumer Non-Durables,Shoe Manufacturing,}
{,NINE,"Nine Energy Service, Inc.",22.23,$682.63M,2018,Energy,Oilfield Services/Equipment,}
{,NIO,NIO Inc.,4.56,$4.68B,2018,Capital Goods,Auto Manufacturing,}
{,NI,"NiSource, Inc",28.08,$10.48B,n/a,Public Utilities,Power Generation,}
{,NI^B,"NiSource, Inc",26.59,n/a,n/a,Public Utilities,Power Generation,}
{,NL,"NL Industries, Inc.",3.74,$182.24M,n/a,Basic Industries,Major Chemicals,}
{,NOAH,Noah Holdings Ltd.,48.5,$2.92B,2010,Finance,Investment Managers,}
{,NE,Noble Corporation,2.51,$625.38M,n/a,Energy,Oil & Gas Production,}
{,NBL,Noble Energy Inc.,24.11,$11.53B,n/a,Energy,Oil & Gas Production,}
{,NBLX,Noble Midstream Partners LP,32.75,$1.3B,2016,Energy,Natural Gas Distribution,}
{,NOK,Nokia Corporation,4.93,$27.6B,1994,Technology,Radio And Television Broadcasting And Communications Equipment,}
{,NOMD,Nomad Foods Limited,21.63,$4.21B,2016,Consumer Non-Durables,Packaged Foods,}
{,NMR,Nomura Holdings Inc ADR,3.51,$11.62B,n/a,Finance,Investment Bankers/Brokers/Service,}
{,OSB,Norbord Inc.,24.04,$1.96B,n/a,Basic Industries,Forest Products,}
{,NAO,Nordic American Offshore Ltd.,4.7,"$291,338.90 ",2014,Transportation,Marine Transportation,}
{,NAT,Nordic American Tankers Limited,2.18,$309.49M,n/a,Consumer Services,Marine Transportation,}
{,JWN,"Nordstrom, Inc.",39.37,$6.1B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,}
{,NSC,Norfolk Souther Corporation,202.59,$53.88B,n/a,Transportation,Railroads,}
{,NOA,North American Construction Group Ltd.,11.76,$320.46M,2006,Energy,Oilfield Services/Equipment,}
{,NRT,North European Oil Royality Trust,7.4,$68.01M,n/a,Energy,Oil & Gas Production,}
{,NOC,Northrop Grumman Corporation,300.8,$51.08B,n/a,Capital Goods,Industrial Machinery/Components,}
{,NRE,NorthStar Realty Europe Corp.,17.7,$890.55M,2015,Consumer Services,Real Estate Investment Trusts,}
{,NWN,Northwest Natural Holding Company,68.96,$2B,n/a,Public Utilities,Oil/Gas Transmission,}
{,NWE,NorthWestern Corporation,70.79,$3.57B,n/a,Public Utilities,Power Generation,}
{,NCLH,Norwegian Cruise Line Holdings Ltd.,57.9,$12.47B,n/a,Consumer Services,Marine Transportation,}
{,NVS,Novartis AG,81.88,$190.19B,n/a,Health Care,Major Pharmaceuticals,}
{,NVO,Novo Nordisk A/S,48.28,$114.79B,n/a,Health Care,Major Pharmaceuticals,}
{,DNOW,NOW Inc.,14.24,$1.55B,2014,Energy,Metal Fabrications,}
{,NRG,"NRG Energy, Inc.",37.31,$9.97B,n/a,Public Utilities,Electric Utilities: Central,}
{,NUS,"Nu Skin Enterprises, Inc.",53.99,$3B,1996,Health Care,Other Pharmaceuticals,}
{,NUE,Nucor Corporation,56.8,$17.31B,n/a,Basic Industries,Steel/Iron Ore,}
{,NS,Nustar Energy L.P.,28.42,$3.06B,n/a,Energy,Natural Gas Distribution,}
{,NS^A,Nustar Energy L.P.,23.95,n/a,n/a,n/a,n/a,}
{,NS^B,Nustar Energy L.P.,21.7,n/a,n/a,n/a,n/a,}
{,NS^C,Nustar Energy L.P.,24.51,n/a,n/a,n/a,n/a,}
{,NSS,"NuStar Logistics, L.P.",25.29,n/a,n/a,n/a,n/a,}
{,NTR,Nutrien Ltd.,52.13,$31B,2018,Basic Industries,Agricultural Chemicals,}
{,JMLP,Nuveen All Cap Energy MLP Opportunities Fund,6.52,$88.02M,2014,n/a,n/a,}
{,NVG,Nuveen AMT-Free Municipal Credit Income Fund,15.57,$3.15B,2002,n/a,n/a,}
{,NUV,Nuveen AMT-Free Municipal Value Fund,9.99,$2.07B,1987,n/a,n/a,}
{,NUW,Nuveen AMT-Free Municipal Value Fund,16.44,$253.16M,2009,n/a,n/a,}
{,NEA,Nuveen AMT-Free Quality Municipal Income Fund,13.5,$3.55B,2002,n/a,n/a,}
{,NAZ,Nuveen Arizona Quality Municipal Income Fund,12.86,$148.81M,1992,n/a,n/a,}
{,NKX,Nuveen California AMT-Free Quality Municipal Income Fund,14.18,$673.84M,2002,n/a,n/a,}
{,NCB,Nuveen California Municipal Value Fund 2,16.1907,$53.45M,n/a,n/a,n/a,}
{,NCA,"Nuveen California Municipal Value Fund, Inc.",9.81,$275.57M,n/a,n/a,n/a,}
{,NAC,Nuveen California Quality Municipal Income Fund,14.06,$2.03B,1999,n/a,n/a,}
{,NTC,Nuveen Connecticut Quality Municipal Income Fund,12.45,$178.4M,1993,n/a,n/a,}
{,JCE,Nuveen Core Equity Alpha Fund,13.8,$221.19M,2007,n/a,n/a,}
{,JCO,Nuveen Credit Opportunities 2022 Target Term Fund,9.85,$272.69M,2017,n/a,n/a,}
{,JQC,Nuveen Credit Strategies Income Fund,8.02,$1.09B,2003,n/a,n/a,}
{,JDD,Nuveen Diversified Dividend and Income Fund,10.77,$212.56M,2003,n/a,n/a,}
{,DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,17.69,$638.84M,2014,n/a,n/a,}
{,JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,8.78,$124.99M,2017,n/a,n/a,}
{,JMF,Nuveen Energy MLP Total Return Fund,9.33,$380.54M,2011,n/a,n/a,}
{,NEV,Nuveen Enhanced Municipal Value Fund,14.04,$350.3M,2009,n/a,n/a,}
{,JFR,Nuveen Floating Rate Income Fund,9.98,$568.05M,2004,n/a,n/a,}
{,JRO,Nuveen Floating Rate Income Opportuntiy Fund,9.91,$401.76M,2004,n/a,n/a,}
{,NKG,Nuveen Georgia Quality Municipal Income Fund ,11.99,$124.69M,2002,n/a,n/a,}
{,JGH,Nuveen Global High Income Fund,15.71,$364.12M,2014,n/a,n/a,}
{,JHY,Nuveen High Income 2020 Target Term Fund,9.95,$157.01M,2015,n/a,n/a,}
{,JHAA,Nuveen High Income 2023 Target Term Fund,10.07,$70.49M,2018,n/a,n/a,}
{,JHD,Nuveen High Income December 2019 Target Term Fund,9.91,$268.21M,2016,n/a,n/a,}
{,JHB,Nuveen High Income November 2021 Target Term Fund,9.8,$547.54M,2016,n/a,n/a,}
{,NXC,Nuveen Insured California Select Tax-Free Income Portfolio,14.11,$89.6M,1992,n/a,n/a,}
{,NXN,Nuveen Insured New York Select Tax-Free Income Portfolio,13.6997,$53.77M,1992,n/a,n/a,}
{,NID,Nuveen Intermediate Duration Municipal Term Fund,13.32,$624.84M,2012,n/a,n/a,}
{,NMY,Nuveen Maryland Quality Municipal Income Fund,12.71,$296.93M,1993,n/a,n/a,}
{,NMT,Nuveen Massachusetts Municipal Income Fund,12.75,$119.19M,n/a,n/a,n/a,}
{,NUM,Nuveen Michigan Quality Municipal Income Fund,13.3315,$269.65M,1991,n/a,n/a,}
{,NMS,Nuveen Minnesota Quality Municipal Income Fund,13.5571,$78.39M,2014,n/a,n/a,}
{,NOM,Nuveen Missouri Quality Municipal Income Fund,13.45,$31.53M,1993,n/a,n/a,}
{,JLS,Nuveen Mortgage Opportunity Term Fund,23.22,$368.94M,2009,n/a,n/a,}
{,JMM,Nuveen Multi-Market Income Fund,7.14,$67.56M,n/a,n/a,n/a,}
{,NHA,Nuveen Municipal 2021 Target Term Fund,9.59,$82.69M,2016,n/a,n/a,}
{,NZF,Nuveen Municipal Credit Income Fund,15.52,$2.21B,2007,n/a,n/a,}
{,NMZ,Nuveen Municipal High Income Opportunity Fund,13.78,$883.01M,2003,n/a,n/a,}
{,NMI,"Nuveen Municipal Income Fund, Inc.",11.05,$96.54M,1988,n/a,n/a,}
{,NJV,Nuveen New Jersey Municipal Value Fund,13.4,$20.51M,n/a,n/a,n/a,}
{,NXJ,Nuveen New Jersey Quality Municipal Income Fund,13.92,$583.71M,2001,n/a,n/a,}
{,NRK,Nuveen New York AMT-Free Quality Municipal,12.93,$1.13B,2002,n/a,n/a,}
{,NYV,Nuveen New York Municipal Value Fund 2,14.45,$33.95M,2009,n/a,n/a,}
{,NNY,"Nuveen New York Municipal Value Fund, Inc.",9.91,$150.82M,1988,n/a,n/a,}
{,NAN,Nuveen New York Quality Municipal Income Fund,13.67,$421.74M,1999,n/a,n/a,}
{,NNC,Nuveen North Carolina Quality Municipal Income Fd,12.92,$212.13M,1993,n/a,n/a,}
{,NUO,Nuveen Ohio Quality Municipal Income Fund,14.86,$272.19M,1991,n/a,n/a,}
{,NPN,Nuveen Pennsylvania Municipal Value Fund,13.675,$16.67M,2009,n/a,n/a,}
{,NQP,Nuveen Pennsylvania Quality Municipal Income Fund,13.45,$502.81M,1991,n/a,n/a,}
{,JPC,Nuveen Preferred & Income Opportunities Fund,9.67,$999.23M,2003,n/a,n/a,}
{,JPS,Nuveen Preferred & Income Securities Fund,9.34,$1.9B,2002,n/a,n/a,}
{,JPT,Nuveen Preferred and Income 2022 Term Fund,23.51,$160.61M,2017,n/a,n/a,}
{,JPI,Nuveen Preferred and Income Term Fund,23.41,$532.75M,2012,n/a,n/a,}
{,NAD,Nuveen Quality Municipal Income Fund,13.81,$2.79B,1999,n/a,n/a,}
{,JRI,Nuveen Real Asset Income and Growth Fund,16.23,$445.82M,2012,n/a,n/a,}
{,JRS,Nuveen Real Estate Fund,10.14,$292.97M,2001,n/a,n/a,}
{,BXMX,Nuveen S&P 500 Buy-Write Income Fund,13.15,$1.36B,n/a,n/a,n/a,}
{,SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,15.57,$257.36M,n/a,n/a,n/a,}
{,NIM,Nuveen Select Maturities Municipal Fund,10.3,$128.19M,1992,n/a,n/a,}
{,NXP,Nuveen Select Tax Free Income Portfolio,14.99,$248.39M,1992,n/a,n/a,}
{,NXQ,Nuveen Select Tax Free Income Portfolio II,14.11,$249.94M,1992,n/a,n/a,}
{,NXR,Nuveen Select Tax Free Income Portfolio III,15.1,$196.99M,1992,n/a,n/a,}
